key,en,lt,de,ru
summoner, Summoner,Šaukys, Beschw?rer, Призыватель
trapper, Trapper,Medžiotojas, J?ger, Охотник
berserk, Berserk,Berserkas, Berserker, Берсерк
,,,,
none, None,Nieko, Keine, Ничего
none_description, None,Nieko, Keine, Ничего
fire, Fire,Šūvis, Schuss, Выстрел
fire_description," If you have ammo,  attack the enemy with a shot dealing 2 damage","Turint amuniciją, šaunama į priešą ir jam atimami 2 žalos taškai"," Falls du Munition hast,  attackiere den Feind mit einem Schuss,  der 2 Schaden macht"," Если есть патроны,  атакуй врага выстрелом наносящим 2 ед. Урона"
reload, Reload,Pertaisymas, Nachladen, Перезарядка
reload_description, Prepare fire attack,Parengiamas ginklas kitam šūviui, Nachladen der Waffe, Перезарядка оружия
dodge, Dodge,Išsisukimas, Ausweichen, Уворот
dodge_description, Evade attacks,Priešo atakos išvengimas, Einer Attacke ausweichen, Уворот от атаки врага
slash, Slash,Kirtimas, Hieb, Удар
slash_description, Deal 1 damage with a slash of your sword,Priešas kertamas kardu ir jam atimamas 1 žalos tašką, Mach 1 Schaden mit einem Hieb deines Schwerts, Нанести врагу 1 ед. урона мечом
parry, Parry,Atremimas, Parieren, Парирование
parry_description," If enemy attacks this turn,  he will be damaged instead","Puolant priešui, jo žala padaroma jam"," Wenn der Gegner attackiert,  wird er stattdessen besch?digt"," В случае атаки врага,  урон наносится ему"
block, Block,Blokavimas, Blockieren, Блок
block_description, Block incoming enemy attack,Blokuojamas priešo puolimas, Feindliche Attacke blockieren, Блокировка атаки врага
summon, Summon,Iškvietimas, Beschw?ren, Призыв
summon_description, Doubles amount of existing minions,Pakalikai dvigubinasi, Verdoppelt die Anzahl der bestehenden Diener, Удваивает число призванных миньонов
attack, Attack,Puolimas, Attacke, Aттака
attack_description, Deals 1 damage. The damage is multiplied by the number of minions,Padaro 1 žalą. Žala padidinama pakalikų skaičiumi,Macht 1 Schaden. Der Schaden wird mit der Zahl der Diener multipliziert., Нанесение 1 ед. урона. Урон умножается на число миньонов
sacrifice, Sacrifice,Auka, Opfer, Жертва
sacrifice_description, Sacrifices one minion and restores 2 HP,"Paaukojus vieną pakaliką, išgydomi 2 žalos taškai", Opfert einen Diener und stellt 2 Lebenspunkte wieder her, Погибает один миньон и восстанавливаются 2 ед. здоровья
anti_attack, Anti-Attack,Anti-Ataka, Anti-Attacke, Анти-Аттака
anti_attack_description, The enemy's attack is cancelled,Priešo puolimas atšaukiamas, Die Attacke des Gegners wird annulliert, Отменяется вражеская атака
anti_utility, Anti-Utility,Anti-Veiksmas, Anti-Hilfsaktion, Анти-Навык
anti_utility_description, The utility skill is cancelled and 2 points are scored,Priešo veikmas atšaukiamas. Pelnami 2 pergalės taškai, Die Hilfsaktion des Gegners wird annulliert, Отменяется вспомогательный навык врага и получаются 2 очка
smash, Smash,Sudaužyti, Zerschlagen, Крушение
smash_description, Deal current damage to a random character,Padarykite dabartinę žalą atsitiktiniam veikėjui, Einem zuf?lligen Charakter aktuellen Schaden zuf?gen, Текущий урон наносится случайному персонажу
concentrate, Concentrate,Koncentracija, Konzentrieren, Концентрация
concentrate_description, Increases enemy hit chance by 25%,25% padidina priešo smūgio tikimybę, Erh?ht die Trefferchance gegen Feinde um 25%, Увеличить шанс попадания по врагу на 25%
enrage, Enrage,Įniršimas, Rage, Ярость
enrage_description, Doubles current damage,Padvigubina dabartinę žalą, Verdoppelt den aktuellen Schaden, Удвоение текущего урона
rest, Rest,Poilsis, Ruhen, Отдых
rest_description, Restore action points,Sugražina veiksmų taškus, Aktionspunkte wiederherstellen, Восстанавливаются очки действий
,,,,
clothes, Clothes,Drabužiai, Kleidung, Одежда
hats, Hats,Skrybėlės, H?te, Шапки
primary color, Primary Color,Pagrindinė Spalva, Hauptfarbe, Основной Цвет
maincolor, Primary Color,Pagrindinė Spalva, Hauptfarbe, Основной Цвет
secondary color, Secondary Color,Antrinė Spalva, Sekund?rfarbe, Вторичный Цвет
secondarycolor, Secondary Color,Antrinė Spalva, Sekund?rfarbe, Вторичный Цвет
hat, Hat,Skrybėlė,Hut, Шапка
,,,,
new_color_unlocked, New Color Unlocked!,Nauja splava atidaryta!,  Neue Farbe er?ffnet!, Открыт Новый Цвет!
,,,,
,,,,
warrior_description," The chosen Unpet that was prophecised to consume great amounts of valerian and bring back the Great Clip-Clop.\n\nPreviously was dodge-rolling endlessly,  but after long years of adventuring he fully mastered the art of swordsmanship.\n\n Apart from attacking and blocking, he can also skillfully parry enemy attacks!","Išrinktasis ... kuriam buvo išpranašauta išlakti valerijonijaus ir gražinti šiam pasauliui Didyjį ... .\n\n Seniau jo mėgstamiausia taktika buvo o taktika buvo begalinis išsisukinėjimas, tačiau per klajonių metus jis puikiai įvaldė kardą.\n\n Tai padeda ne tik smogti ir blokuoti priešo atakas, bet ir meistriškai jas atmušti!"," Der auserw?hlte Ungestreichelt, der viel Baldrian trinken will, um den Gro?en Klipp-Klapp zur?ckzubringen.\n\nFr?her wich er Attacken endlos aus, aber nach langen Jahren des Abenteuers meisterte er die Schwertkunst perfekt.\n\nEr kann nicht nur attackieren und blocken, sondern auch gegnerische Attacken parieren!"," Избранный неглаженный,  цель которого - напитаться валерианом и вернуть в этот мир великий ТЫГЫДЫК.\n\n Раннее излюбленной тактикой были бесконечные увороты,  но за долгие годы странствий он идеально овладел мечом.\n\n Он помогает не только наносить удары и блокировать выпады врага,  но и мастерски парировать их назад!"
,,,,
ranger_description, Brave adventurer that ventured to these dangerous lands. \n\n No enemy is too dangerous to him while he has his one-shot gun. Except for pickles.,"Drąsus nuotykių ieškotojas, kurio paieškos atvedė jį į šiuos kraštus.\n\n Kol jis turi savo patikimą vienašūvį pistoletą, joks priešas jam nebaisus. Išskyrus agurkus...",," Отважный искатель приключений,  поиск которых привел его в эти земли.\n\n Пока у него есть его верный однозарядный пистолет,  никакой враг ему не страшен. Кроме огурцов…"
ranger_ammo_icon_description, Loaded gun status,Užtaisyto ginklo būsena, , Статус заряженности оружия
,,,,
summoner_description, This alchemist became a summoner after an unsuccessfull experiment that turned his brother into a flock of mice.\n\n Despite the great power acquired he seeks to bring his brother back and no price is too big to pay.,"Šis alchemikas tapo šaukiu po nesėkmingo eksperimento, kuris jo brolį pavertė pelių pulku.\n\n Nepaisant įgytos didžiulės galios, jis siekia sugrąžinti brolį ir jokia kaina nėra per didelė.",," Во время одного из экспериментов этот алхимик стал призывателем - почти потерял своего брата-но успел переселить его душу в стаю мышей.\n\n Не смотря на обретенную мощь,  он всеми силами стремится вернуть брату прежний облик."
summoner_sumons_icon_description, Number of summons - used to deal more damage or be sacrificed to restore/gain health,Iškvietimų skaičius – naudojamas norint padaryti daugiau žalos arba būti paaukotam siekiant atkurti/įgyti sveikatą,," Количетво призванных минионов - каждый увеличивает наносимый крон и ими можно пожертвовать,  чтоб восстановиить здоровье"
,,,,
trapper_description, This mastermind deceiver simply enjoys his every smart move.\n\n His only target is to throw off his opponent... from whatever!,Šis meistriškas manipuliatorius tiesiog mėgaujasi kiekviena savo gudria pergale.\n\n Vienintelis jo tikslas yra numesti priešininką... nuo bet ko!,," Этот мастерский манипулятор просто наслаждается каждой своей хитроумной победой.\n\n Он ищет достойного противника,  дабы сбросить его с...чего бы то ни было!"
trapper_victory_points_icon_description, Number of gained victory points. 10 points are required to win,Surinktų pergalės taškų skaičius. Norint laimėti reikia surinkti 10 taškų, , Набранное количество очков победы. Для победы нужно 10 очков
,,,,
berserk_description," Past of this warrior is a great mystery.\n\n Some say that behind the mask of calmness lies fury that previously didn't let gods sleep,  thus annihilating them!","Šio kario praeitis yra didžiulė paslaptis.\n\n Kai kas sako, kad už ramybės kaukės slypi įniršis, kuris anksčiau neleisdavo dievams užmigti, taip juos sunaikindamas!",," Прошлое этого воителя покрыто пеленой,  но ходят слухи,  что он - бледная тень прежнего себя.\n\n Поговаривают,  что за личиной спокойствия все еще бушует та ярость,  которая не давая богам спать,  уничтожила их!"
berserk_damage_icon_description, Number of damage that will be dealt,"Žalos, kuri bus padaryta, skaičius", , Количество наносимого урона
berserk_concentration_icon_description, Enemy hit chance,Tikimybė pataikyti į priešą, , Шанс попадания по врагу
,,,,
class_info, Class\nInfo,Klasės\nInformacija, , Класс
actions_info, Actions\nInfo,Veiksmų\nInformacija, , Действия
action_cooldown,Action Cooldown,,Abklingzeit,Время перезарядки
legendary,Legendary,Legendinis,Legend?r,Легендарный
epic,Epic,Epinis,Episch,Эпичный
rare,Rare,Retas,Selten,Редкий
common,Common,Dažnas,Gemeinsam,Обычный
,,,,
settings,Settings,Nustatymai,Einstellungen,Настройки
credits,Credits,Autoriai,Mitwirkende,Авторы
